Specification,Weight
Indication completed,0.0
Keep warm functionality,0.0
Automatic switch-off,0.0
Automatic cooking program,0.0
Maximum temperature,0.0
Power,0.06997942104397638
Non-slip bottom,0.0038736330788608567
With graduation,0.0009127685183096222
Transparent lid,0.023405739083110395
Temperature indicator,0.0
Temperature settings,0.0
Number of programs,0.0002464043829489887
Cord length,0.5938922525024276
Product weight,0.14635095102032558
Suitable for how many fries,0.0008817263900812179
Contents,1.0
Tested baking time fries,0.0
Switch on timer,0.0
Timer,0.9106088910549881
Removable bowl,0.03359379691218245
Dishwasher safe,0.7796778633253749
Cool wall,0.0
Cord storage space,0.0
Indicator light,0.03627307818511186
Warning signal,0.012718943078249076
Non-stick coating,0.0708365097289537
BPA-free,0.0
Controllable via app,0.2649797163687952
Factory warranty term,0.0151543957122023
Introduction,0.14699207238546733
Can connect to the internet independently,0.04300172567382319
Warm-up function,0.06902659389048338
Overheat protection,0.000273790865702104
